"No.","Time","Source","Destination","Protocol","Length","Info"
"186632","2790.877254","202.77.162.213","172.16.115.20","Portmap","98","V2 GETPORT Call (Reply In 186633) SADMIND(100232) V:10 UDP"
"186633","2790.878658","172.16.115.20","202.77.162.213","Portmap","70","V2 GETPORT Reply (Call In 186632) Port:32773"
"186634","2790.882799","202.77.162.213","172.16.115.20","SADMIND","114","V10 proc-0 Call (Reply In 186638)"
"186638","2791.004145","172.16.115.20","202.77.162.213","SADMIND","66","V10 proc-0 Reply (Call In 186634)"
"186640","2791.018609","202.77.162.213","172.16.115.87","Portmap","98","V2 GETPORT Call SADMIND(100232) V:10 UDP"
"186793","2796.023794","202.77.162.213","172.16.115.87","Portmap","98","[RPC retransmission of #186640]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"186893","2801.033952","202.77.162.213","172.16.115.87","Portmap","98","[RPC retransmission of #186640]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"187022","2806.043921","202.77.162.213","172.16.115.87","Portmap","98","[RPC retransmission of #186640]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"187223","2811.053968","202.77.162.213","172.16.115.87","Portmap","98","[RPC retransmission of #186640]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"187406","2816.064029","202.77.162.213","172.16.115.87","Portmap","98","[RPC retransmission of #186640]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"187526","2821.074083","202.77.162.213","172.16.115.87","Portmap","98","[RPC retransmission of #186640]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"187768","2826.084160","202.77.162.213","172.16.115.87","Portmap","98","[RPC retransmission of #186640]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"188058","2831.094452","202.77.162.213","172.16.115.87","Portmap","98","[RPC retransmission of #186640]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"188091","2836.104516","202.77.162.213","172.16.115.87","Portmap","98","[RPC retransmission of #186640]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"188331","2841.114575","202.77.162.213","172.16.115.87","Portmap","98","[RPC retransmission of #186640]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"188567","2846.124596","202.77.162.213","172.16.115.87","Portmap","98","[RPC retransmission of #186640]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"198858","3033.160155","202.77.162.213","172.16.113.50","Portmap","98","V2 GETPORT Call (Reply In 198859) SADMIND(100232) V:10 UDP"
"198859","3033.163038","172.16.113.50","202.77.162.213","Portmap","70","V2 GETPORT Reply (Call In 198858) PROGRAM_NOT_AVAILABLE"
"198872","3033.181850","202.77.162.213","172.16.113.105","Portmap","98","V2 GETPORT Call SADMIND(100232) V:10 UDP"
"199527","3038.176894","202.77.162.213","172.16.113.105","Portmap","98","[RPC retransmission of #198872]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"199866","3043.186929","202.77.162.213","172.16.113.105","Portmap","98","[RPC retransmission of #198872]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"200495","3048.196988","202.77.162.213","172.16.113.105","Portmap","98","[RPC retransmission of #198872]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"200851","3053.207023","202.77.162.213","172.16.113.105","Portmap","98","[RPC retransmission of #198872]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"201465","3058.217131","202.77.162.213","172.16.113.105","Portmap","98","[RPC retransmission of #198872]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"201643","3063.227187","202.77.162.213","172.16.113.105","Portmap","98","[RPC retransmission of #198872]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"202003","3068.237247","202.77.162.213","172.16.113.105","Portmap","98","[RPC retransmission of #198872]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"202509","3073.247306","202.77.162.213","172.16.113.105","Portmap","98","[RPC retransmission of #198872]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"202867","3078.257385","202.77.162.213","172.16.113.105","Portmap","98","[RPC retransmission of #198872]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"203198","3083.267534","202.77.162.213","172.16.113.105","Portmap","98","[RPC retransmission of #198872]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"203650","3088.277483","202.77.162.213","172.16.113.105","Portmap","98","[RPC retransmission of #198872]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"203988","3093.300830","202.77.162.213","172.16.113.148","Portmap","98","V2 GETPORT Call SADMIND(100232) V:10 UDP"
"204308","3098.297639","202.77.162.213","172.16.113.148","Portmap","98","[RPC retransmission of #203988]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"204502","3103.307792","202.77.162.213","172.16.113.148","Portmap","98","[RPC retransmission of #203988]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"204628","3108.317716","202.77.162.213","172.16.113.148","Portmap","98","[RPC retransmission of #203988]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"205002","3113.327830","202.77.162.213","172.16.113.148","Portmap","98","[RPC retransmission of #203988]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"205869","3118.338046","202.77.162.213","172.16.113.148","Portmap","98","[RPC retransmission of #203988]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"206037","3123.347983","202.77.162.213","172.16.113.148","Portmap","98","[RPC retransmission of #203988]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"206347","3128.358088","202.77.162.213","172.16.113.148","Portmap","98","[RPC retransmission of #203988]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"206840","3133.368025","202.77.162.213","172.16.113.148","Portmap","98","[RPC retransmission of #203988]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"206953","3138.378176","202.77.162.213","172.16.113.148","Portmap","98","[RPC retransmission of #203988]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"207023","3143.388255","202.77.162.213","172.16.113.148","Portmap","98","[RPC retransmission of #203988]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"207051","3148.398296","202.77.162.213","172.16.113.148","Portmap","98","[RPC retransmission of #203988]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"211238","3213.546278","202.77.162.213","172.16.112.10","Portmap","98","V2 GETPORT Call (Reply In 211239) SADMIND(100232) V:10 UDP"
"211239","3213.547237","172.16.112.10","202.77.162.213","Portmap","70","V2 GETPORT Reply (Call In 211238) Port:32774"
"211240","3213.549749","202.77.162.213","172.16.112.10","SADMIND","114","V10 proc-0 Call (Reply In 211244)"
"211244","3213.607184","172.16.112.10","202.77.162.213","SADMIND","66","V10 proc-0 Reply (Call In 211240)"
"211245","3213.621659","202.77.162.213","172.16.112.50","Portmap","98","V2 GETPORT Call (Reply In 211246) SADMIND(100232) V:10 UDP"
"211246","3213.623138","172.16.112.50","202.77.162.213","Portmap","70","V2 GETPORT Reply (Call In 211245) Port:32773"
"211247","3213.625420","202.77.162.213","172.16.112.50","SADMIND","114","V10 proc-0 Call (Reply In 211255)"
"211255","3213.710421","172.16.112.50","202.77.162.213","SADMIND","66","V10 proc-0 Reply (Call In 211247)"
"211256","3213.724759","202.77.162.213","172.16.112.100","Portmap","98","V2 GETPORT Call SADMIND(100232) V:10 UDP"
"211534","3218.731863","202.77.162.213","172.16.112.100","Portmap","98","[RPC retransmission of #211256]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"212130","3223.739077","202.77.162.213","172.16.112.100","Portmap","98","[RPC retransmission of #211256]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"212444","3228.749101","202.77.162.213","172.16.112.100","Portmap","98","[RPC retransmission of #211256]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"212652","3233.759177","202.77.162.213","172.16.112.100","Portmap","98","[RPC retransmission of #211256]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"213061","3238.769257","202.77.162.213","172.16.112.100","Portmap","98","[RPC retransmission of #211256]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"213380","3243.779267","202.77.162.213","172.16.112.100","Portmap","98","[RPC retransmission of #211256]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"213626","3248.789669","202.77.162.213","172.16.112.100","Portmap","98","[RPC retransmission of #211256]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"213971","3253.799427","202.77.162.213","172.16.112.100","Portmap","98","[RPC retransmission of #211256]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"214272","3258.809468","202.77.162.213","172.16.112.100","Portmap","98","[RPC retransmission of #211256]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"214617","3263.819626","202.77.162.213","172.16.112.100","Portmap","98","[RPC retransmission of #211256]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"215025","3268.829614","202.77.162.213","172.16.112.100","Portmap","98","[RPC retransmission of #211256]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"215268","3273.855193","202.77.162.213","172.16.112.105","Portmap","98","V2 GETPORT Call SADMIND(100232) V:10 UDP"
"215653","3278.849787","202.77.162.213","172.16.112.105","Portmap","98","[RPC retransmission of #215268]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"215729","3283.859786","202.77.162.213","172.16.112.105","Portmap","98","[RPC retransmission of #215268]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"215988","3288.869858","202.77.162.213","172.16.112.105","Portmap","98","[RPC retransmission of #215268]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"216313","3293.879903","202.77.162.213","172.16.112.105","Portmap","98","[RPC retransmission of #215268]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"216444","3298.890051","202.77.162.213","172.16.112.105","Portmap","98","[RPC retransmission of #215268]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"216507","3303.900150","202.77.162.213","172.16.112.105","Portmap","98","[RPC retransmission of #215268]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"216732","3308.910182","202.77.162.213","172.16.112.105","Portmap","98","[RPC retransmission of #215268]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"217088","3313.920413","202.77.162.213","172.16.112.105","Portmap","98","[RPC retransmission of #215268]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"217431","3318.930206","202.77.162.213","172.16.112.105","Portmap","98","[RPC retransmission of #215268]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"217613","3323.940371","202.77.162.213","172.16.112.105","Portmap","98","[RPC retransmission of #215268]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"217779","3328.950352","202.77.162.213","172.16.112.105","Portmap","98","[RPC retransmission of #215268]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"217961","3333.973850","202.77.162.213","172.16.112.194","Portmap","98","V2 GETPORT Call SADMIND(100232) V:10 UDP"
"218298","3338.976586","202.77.162.213","172.16.112.194","Portmap","98","[RPC retransmission of #217961]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"218703","3343.980518","202.77.162.213","172.16.112.194","Portmap","98","[RPC retransmission of #217961]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"218903","3348.990617","202.77.162.213","172.16.112.194","Portmap","98","[RPC retransmission of #217961]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"219045","3354.000706","202.77.162.213","172.16.112.194","Portmap","98","[RPC retransmission of #217961]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"219186","3359.010770","202.77.162.213","172.16.112.194","Portmap","98","[RPC retransmission of #217961]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"219697","3364.020781","202.77.162.213","172.16.112.194","Portmap","98","[RPC retransmission of #217961]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"219820","3369.030820","202.77.162.213","172.16.112.194","Portmap","98","[RPC retransmission of #217961]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"219950","3374.040945","202.77.162.213","172.16.112.194","Portmap","98","[RPC retransmission of #217961]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"220054","3379.050975","202.77.162.213","172.16.112.194","Portmap","98","[RPC retransmission of #217961]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"220165","3384.061359","202.77.162.213","172.16.112.194","Portmap","98","[RPC retransmission of #217961]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"220710","3389.071070","202.77.162.213","172.16.112.194","Portmap","98","[RPC retransmission of #217961]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"264596","4294.134775","202.77.162.213","172.16.115.20","Portmap","98","V2 GETPORT Call (Reply In 264597) SADMIND(100232) V:10 UDP"
"264597","4294.136078","172.16.115.20","202.77.162.213","Portmap","70","V2 GETPORT Reply (Call In 264596) Port:32773"
"264598","4294.144592","202.77.162.213","172.16.115.20","SADMIND","1454","V10 proc-1 Call"
"264689","4296.166121","202.77.162.213","172.16.115.20","Portmap","98","V2 GETPORT Call (Reply In 264690) SADMIND(100232) V:10 UDP"
"264690","4296.167380","172.16.115.20","202.77.162.213","Portmap","70","V2 GETPORT Reply (Call In 264689) Port:32773"
"264692","4296.175850","202.77.162.213","172.16.115.20","SADMIND","1454","V10 proc-1 Call"
"264917","4302.399051","202.77.162.213","172.16.115.20","Portmap","98","V2 GETPORT Call (Reply In 264918) SADMIND(100232) V:10 UDP"
"264918","4302.400306","172.16.115.20","202.77.162.213","Portmap","70","V2 GETPORT Reply (Call In 264917) Port:32773"
"264921","4302.408814","202.77.162.213","172.16.115.20","SADMIND","1454","V10 proc-1 Call"
"264997","4304.436520","202.77.162.213","172.16.115.20","Portmap","98","V2 GETPORT Call (Reply In 264998) SADMIND(100232) V:10 UDP"
"264998","4304.437794","172.16.115.20","202.77.162.213","Portmap","70","V2 GETPORT Reply (Call In 264997) Port:32773"
"264999","4304.446202","202.77.162.213","172.16.115.20","SADMIND","1454","V10 proc-1 Call"
"265044","4310.679089","202.77.162.213","172.16.115.20","Portmap","98","V2 GETPORT Call (Reply In 265045) SADMIND(100232) V:10 UDP"
"265045","4310.680338","172.16.115.20","202.77.162.213","Portmap","70","V2 GETPORT Reply (Call In 265044) Port:32773"
"265046","4310.688885","202.77.162.213","172.16.115.20","SADMIND","1454","V10 proc-1 Call"
"265062","4312.728714","202.77.162.213","172.16.115.20","Portmap","98","V2 GETPORT Call (Reply In 265063) SADMIND(100232) V:10 UDP"
"265063","4312.730003","172.16.115.20","202.77.162.213","Portmap","70","V2 GETPORT Reply (Call In 265062) Port:32773"
"265066","4312.746253","202.77.162.213","172.16.115.20","SADMIND","1454","V10 proc-1 Call"
"267985","4379.960144","202.77.162.213","172.16.112.10","Portmap","98","V2 GETPORT Call (Reply In 267987) SADMIND(100232) V:10 UDP"
"267987","4379.961405","172.16.112.10","202.77.162.213","Portmap","70","V2 GETPORT Reply (Call In 267985) Port:32774"
"267988","4379.970004","202.77.162.213","172.16.112.10","SADMIND","1454","V10 proc-1 Call"
"268022","4381.997750","202.77.162.213","172.16.112.10","Portmap","98","V2 GETPORT Call (Reply In 268023) SADMIND(100232) V:10 UDP"
"268023","4381.998591","172.16.112.10","202.77.162.213","Portmap","70","V2 GETPORT Reply (Call In 268022) Port:32774"
"268024","4382.007189","202.77.162.213","172.16.112.10","SADMIND","1454","V10 proc-1 Call"
"268231","4388.189958","202.77.162.213","172.16.112.10","Portmap","98","V2 GETPORT Call (Reply In 268232) SADMIND(100232) V:10 UDP"
"268232","4388.190882","172.16.112.10","202.77.162.213","Portmap","70","V2 GETPORT Reply (Call In 268231) Port:32774"
"268233","4388.199489","202.77.162.213","172.16.112.10","SADMIND","1454","V10 proc-1 Call"
"268284","4390.227995","202.77.162.213","172.16.112.10","Portmap","98","V2 GETPORT Call (Reply In 268285) SADMIND(100232) V:10 UDP"
"268285","4390.228854","172.16.112.10","202.77.162.213","Portmap","70","V2 GETPORT Reply (Call In 268284) Port:32774"
"268286","4390.237424","202.77.162.213","172.16.112.10","SADMIND","1454","V10 proc-1 Call"
"268369","4392.509129","202.77.162.213","172.16.112.50","Portmap","98","V2 GETPORT Call (Reply In 268370) SADMIND(100232) V:10 UDP"
"268370","4392.510666","172.16.112.50","202.77.162.213","Portmap","70","V2 GETPORT Reply (Call In 268369) Port:32773"
"268371","4392.519120","202.77.162.213","172.16.112.50","SADMIND","1454","V10 proc-1 Call"
"268433","4394.547553","202.77.162.213","172.16.112.50","Portmap","98","V2 GETPORT Call (Reply In 268434) SADMIND(100232) V:10 UDP"
"268434","4394.548922","172.16.112.50","202.77.162.213","Portmap","70","V2 GETPORT Reply (Call In 268433) Port:32773"
"268435","4394.557335","202.77.162.213","172.16.112.50","SADMIND","1454","V10 proc-1 Call"
"268680","4400.790177","202.77.162.213","172.16.112.50","Portmap","98","V2 GETPORT Call (Reply In 268681) SADMIND(100232) V:10 UDP"
"268681","4400.791805","172.16.112.50","202.77.162.213","Portmap","70","V2 GETPORT Reply (Call In 268680) Port:32773"
"268682","4400.800254","202.77.162.213","172.16.112.50","SADMIND","1454","V10 proc-1 Call"
"269042","4402.827638","202.77.162.213","172.16.112.50","Portmap","98","V2 GETPORT Call (Reply In 269043) SADMIND(100232) V:10 UDP"
"269043","4402.828993","172.16.112.50","202.77.162.213","Portmap","70","V2 GETPORT Reply (Call In 269042) Port:32773"
"269044","4402.837414","202.77.162.213","172.16.112.50","SADMIND","1454","V10 proc-1 Call"
